hour	temp
00:00:00	60.72
01:00:00	60.12
02:00:00	59.3
03:00:00	58.43
04:00:00	57.59
05:00:00	56.99
06:00:00	57.37
07:00:00	57.74
08:00:00	57.49
09:00:00	56.14
10:00:00	55.63
11:00:00	55.68
12:00:00	56.22
13:00:00	56.77
14:00:00	57.45
15:00:00	58.18
16:00:00	59.25
17:00:00	60.63
18:00:00	61.85
19:00:00	62.73
20:00:00	63.65
21:00:00	63.97
22:00:00	63.63
23:00:00	63.85
